complex_name,compound_group,smiles,experimental_pKD,exclusion_reasons
A71EV2A-x4509a,x4509a_x4570a,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cncc(F)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4516a,x4516a_x4541a_x4541b,NC(=O)[C@H]1CCCN(C(=O)C(F)(F)c2cnsc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4526a,x4526a,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccs1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4528a,x4528a_x4872a,NC(=O)[C@H]1CCCN(C(=O)CN2CCOc3ccc(Cl)cc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4537a,x4537a,NC(=O)[C@H]1CCC(=O)N(Cc2csc3ccccc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4538a,x4538a,NC(=O)[C@H]1CCCN(C(=O)C(F)(F)c2cccc(F)c2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4541a,x4516a_x4541a_x4541b,NC(=O)[C@H]1CCCN(C(=O)C(F)(F)c2cnsc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4541b,x4516a_x4541a_x4541b,NC(=O)[C@H]1CCCN(C(=O)C(F)(F)c2cnsc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4544a,x4544a,CS(=O)(=O)c1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4546a,x4490a_x4546a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3cc[nH]c23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4559a,x4559a_x4559b,Cc1ccc2c(ccn2CC(=O)N2CCC[C@H](C(N)=O)C2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4559b,x4559a_x4559b,Cc1ccc2c(ccn2CC(=O)N2CCC[C@H](C(N)=O)C2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4563a,x4563a,NC(=O)[C@H]1CCC(=O)N(c2ccccc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4570a,x4509a_x4570a,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cncc(F)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4586a,x4586a,C[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1cccs1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4596c,x4596a_x4596b_x4596c,NC(=O)[C@H]1CCC(=O)N(Cc2ccc3cc[nH]c3c2)C1,4.6117,suspected_crystallographic_artefact
A71EV2A-x4611a,x4611a_x4611b,NC(=O)[C@H]1CCC(=O)N(Cc2noc3ccccc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4611b,x4611a_x4611b,NC(=O)[C@H]1CCC(=O)N(Cc2noc3ccccc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4644a,x4644a_x4644b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccc(F)c(F)c2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4644b,x4644a_x4644b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccc(F)c(F)c2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4650a,x4650a,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2C(F)(F)F)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4673a,x4673a_x4673b,NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Br)OCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4673b,x4673a_x4673b,NC(=O)[C@H]1CCCN(C(=O)Cc2cc3c(cc2Br)OCO3)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4695a,x4695a,CSc1ccccc1CN1C[C@@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4711a,x4711a,CSc1cccc(CN2C[C@@H](C(N)=O)CCC2=O)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4715a,x4715a_x4715b,CSc1ccccc1CC(=O)N1CC(O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4715b,x4715a_x4715b,CSc1ccccc1CC(=O)N1CC(O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4742a,x4742a_x4742b,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4742b,x4742a_x4742b,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSc3ccccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4748a,x4748a,CSc1ccccc1CC(=O)N1CCO[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4752a,x4752a,CSc1ccccc1CC(=O)N1CCc2nccc(O)c2C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4771a,x4771a,CSc1ccccc1CC(=O)N1CCc2nc[nH]c(=O)c2C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4777a,x4777a,COc1ccc(C(F)(F)F)cc1CC(=O)N1CCS[C@@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4784a,x4784a,NC(=O)[C@H]1CCCN(C(=O)C[C@@H]2CSCCS2)C1,4.618,reference_pose_fails_posebusters
A71EV2A-x4786a,x4786a,NC(=O)[C@H]1CCCN(C(=O)[C@@H]2CCSC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4798a,x4798a,CSc1ccccc1CC(=O)N1CC[C@](O)(c2c[nH]nn2)C1,4.0174,reference_pose_fails_posebusters
A71EV2A-x4806a,x4806a_x4806b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4806b,x4806a_x4806b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2CSc3ccccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4836a,x4836a,CC(=O)N1c2ccccc2C[C@@H]1C(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4838a,x3989a_x4838a,NC(=O)[C@H]1CCN(C(=O)Cc2cc(C(F)(F)F)ccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4839a,x4839a_x4980a,Cn1ncc2ccc(CN3C[C@@H](C(N)=O)CCC3=O)cc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4846a,x4846a,CSc1ccccc1C(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4847a,x4847a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc3[nH]ccc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4855a,x4855a,CSc1ccccc1NC(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4872a,x4528a_x4872a,NC(=O)[C@H]1CCCN(C(=O)CN2CCOc3ccc(Cl)cc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4874a,x4874a_x4874b,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccn[nH]1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4874b,x4874a_x4874b,C[C@H](C(=O)N1CCC[C@H](C(N)=O)C1)c1ccn[nH]1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4877a,x4877a_x4877b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2SCCc3sccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4877b,x4877a_x4877b,NC(=O)[C@H]1CCCN(C(=O)[C@H]2SCCc3sccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4880a,x4880a_x4880b,NC(=O)[C@H]1CCC(=O)N(Cc2ccc3[nH]ccc3c2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4880b,x4880a_x4880b,NC(=O)[C@H]1CCC(=O)N(Cc2ccc3[nH]ccc3c2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4882a,x4882a_x4882b,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)c(F)cc2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4882b,x4882a_x4882b,NC(=O)[C@H]1CCCN(C(=O)Cc2cc(F)c(F)cc2Br)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4908a,x4908a,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3ccoc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4921a,x4921a,NC(=O)[C@H]1CCC(=O)N(Cc2cccc(Cl)c2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4926a,x4926a,Cc1nc2c(CN3C[C@@H](C(N)=O)CCC3=O)c(F)ccc2[nH]1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4928a,x4928a,Cc1cccc(CN2C[C@@H](C(N)=O)CCC2=O)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4934a,x4934a,NC(=O)[C@H]1CCC(=O)N(Cc2ccccc2-c2cccnc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4967a,x4967a_x4967b_x4967c,COc1ccncc1CC(=O)N1C[C@@H](C(N)=O)C[C@@H]2CCCC[C@H]21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4967b,x4967a_x4967b_x4967c,COc1ccncc1CC(=O)N1C[C@@H](C(N)=O)C[C@@H]2CCCC[C@H]21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4967c,x4967a_x4967b_x4967c,COc1ccncc1CC(=O)N1C[C@@H](C(N)=O)C[C@@H]2CCCC[C@H]21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4980a,x4839a_x4980a,Cn1ncc2ccc(CN3C[C@@H](C(N)=O)CCC3=O)cc21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4986b,x4986a_x4986b,CSc1ccc(N2CCCC2=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1,5.0623,reference_pose_fails_posebusters
A71EV2A-x4947a,x4947a,CSc1ccccc1CC(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4949a,x4949a,CSc1cc2c(cc1NC(=O)N1CCC[C@H](C(N)=O)C1)CCC(=O)N2,,missing_experimental_pKD;absent_from_official_affinity_reference;reference_pose_fails_posebusters
A71EV2A-x4959a,x4959a_x4959b,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2SC2CC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4959b,x4959a_x4959b,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2SC2CC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4998a,x4998a_x4998b,CSc1cscc1CC(=O)N1CC(C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x4998b,x4998a_x4998b,CSc1cscc1CC(=O)N1CC(C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5016a,x5016a,C=Cc1ncccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5028a,x5028a,CSc1ccccc1CC(=O)N1CC[C@H](CC(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5065a,x5065a,CSc1ccccc1CCN1C[C@@H](C(N)=O)CC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5073a,x5073a,NC(=O)[C@H]1CCC(=O)N([C@@H]2CCCc3ccccc32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5091a,x5091a,Cc1cccc(N(C)C(=O)N2CC[C@H](C(N)=O)C2)c1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5104a,x5104a_x5200a_x5268a,CSc1ccccc1CC(=O)N1C[C@H](C)C[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5219a,x5219a_x5219b,C[C@@H]1CCCC[C@H]1OC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5219b,x5219a_x5219b,C[C@@H]1CCCC[C@H]1OC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5222a,x5222a,Cc1[nH]c2cc(C#N)ccc2c1CCN1C[C@@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5255a,x5255a,Cc1ccccc1CC(=O)N1C[C@H]2C[C@@](C(N)=O)(C1)C2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5258a,x5106a_x5258a,Cn1ccnc1[C@@H](c1ccccc1)N1C[C@@H](C(N)=O)CC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5359b,x5359a_x5359b,C=Cc1ccccc1CS(=O)(=O)N1CCC[C@H](C(N)=O)C1,4.5952,suspected_crystallographic_artefact;reference_pose_fails_posebusters
A71EV2A-x5381a,x5381a_x5381b,CC[C@@H](c1cccc2cc[nH]c12)N1C[C@@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5381b,x5381a_x5381b,CC[C@@H](c1cccc2cc[nH]c12)N1C[C@@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5388a,x5388a,CSc1ccc(Br)cc1CC(=O)N1CC[C@](O)(C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5393a,x5393a,Cc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5394a,x5394a_x5394b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5394b,x5394a_x5394b,NC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5401a,x5401a,NC(=O)[C@H]1CCCN(C(=O)Oc2ccccc2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5402a,x5402a,NC(=O)[C@H]1CCCN(C(=O)Oc2ccccc2F)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5431b,x5431a_x5431b,NC(=O)[C@H]1CCN(C(=O)[C@@H]2SCCc3sccc32)C1,4.4301,suspected_crystallographic_artefact
A71EV2A-x5452a,x5452a_x5452b,CSc1ccc2c(c1)[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)CCO2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5452b,x5452a_x5452b,CSc1ccc2c(c1)[C@@H](C(=O)N1CCC[C@H](C(N)=O)C1)CCO2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5460a,x5460a,NC(=O)[C@H]1CCC(=O)N(c2cccc3ccccc23)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5461a,x5461a,CSc1ccccc1[C@@H]([NH3+])C(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5462a,x5462a,Cc1cccc2cccc(N3C[C@@H](C(N)=O)CCC3=O)c12,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5489a,x5489a_x5489b,N#Cc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5489b,x5489a_x5489b,N#Cc1ccccc1CC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5539a,x5539a_x5539b,CCSc1ccccc1OC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5539b,x5539a_x5539b,CCSc1ccccc1OC(=O)N1CCC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5576a,x5576a_x5576b,NC(=O)[C@H]1CCCN(C(=O)Oc2ccccc2N2CCCCC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5576b,x5576a_x5576b,NC(=O)[C@H]1CCCN(C(=O)Oc2ccccc2N2CCCCC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5584a,x5584a_x5584b,CN1CCc2cc(F)c(OC(=O)N3CCC[C@H](C(N)=O)C3)cc2C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5584b,x5584a_x5584b,CN1CCc2cc(F)c(OC(=O)N3CCC[C@H](C(N)=O)C3)cc2C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5727a,x5727a,Cc1ccc([C@H](c2nccn2C)N2C[C@@H](C(N)=O)CCC2=O)cc1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5753a,x5753a,CCn1ncc2c1C[C@@H](C(=O)N1CC[C@H](C(N)=O)C1)CC2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5764a,x5764a_x5764b,NC(=O)[C@H]1CCN(C(=O)[C@@H]2CCc3cccc(Br)c32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5764b,x5764a_x5764b,NC(=O)[C@H]1CCN(C(=O)[C@@H]2CCc3cccc(Br)c32)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5793a,x5793a_x5793b,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5793b,x5793a_x5793b,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2Cl)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5822a,x5822a,NC(=O)[C@H]1CCN(C(=O)C2(c3ccc4c(c3)OCO4)CCOCC2)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5894a,x5894a,C[C@@H](c1nccc2ccccc12)N1C[C@@H](C(N)=O)CCC1=O,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5898a,x5898a,Cn1ccnc1[C@@H](c1ccccc1)[N@H+]1C[C@H]2C[C@@](C(N)=O)(C1)C2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x5949a,x5949a,CN(C)c1cccc2c1C[C@@H](C(=O)N1CC[C@H](C(N)=O)C1)S2,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x6776a,x6776a,CSc1ccccc1[C@@H](NC(=O)C[NH+](C)C)C(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x6794a,x6794a,CSc1cccc(-c2sccc2C2CC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1,5.5086,reference_pose_fails_posebusters
A71EV2A-x6797a,x6797a,CCn1cc(C(=O)N[C@H](C(=O)N2CC[C@H](C(N)=O)C2)c2ccccc2SC)cn1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x6841a,x6841a,CCOC(=O)N[C@@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x6944a,x6944a,CSc1ccccc1[C@@H](NC(=O)C1COC1)C(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x6973a,x6973a,COC(C)(C)C(=O)N[C@@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x7050a,x7050a,CSc1ncnc(N2CCc3ccsc3C2)c1CC(=O)N1C[C@@H](C(N)=O)C[C@@H]2C[C@@H]21,,missing_experimental_pKD;absent_from_official_affinity_reference
A71EV2A-x7071a,x7071a,CSc1ccccc1[C@@H](NS(C)(=O)=O)C(=O)N1CC[C@H](C(N)=O)C1,,missing_experimental_pKD;absent_from_official_affinity_reference
